Entity,Date,Partially_vaccinated,Fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Malaysia,24/02/2021,61,3,0,0
Malaysia,25/02/2021,1207,5,0,0
Malaysia,26/02/2021,5265,8,0.02,0
Malaysia,27/02/2021,11957,14,0.04,0
Malaysia,28/02/2021,18665,19,0.06,0
Malaysia,1/3/2021,34050,25,0.1,0
Malaysia,2/3/2021,55731,30,0.17,0
Malaysia,3/3/2021,78412,36,0.24,0
Malaysia,4/3/2021,97951,48,0.3,0
Malaysia,5/3/2021,112313,55,0.34,0
Malaysia,6/3/2021,128104,58,0.39,0
Malaysia,7/3/2021,140671,64,0.43,0
Malaysia,8/3/2021,167857,78,0.51,0
Malaysia,9/3/2021,197919,140,0.6,0
Malaysia,10/3/2021,226685,151,0.69,0
Malaysia,11/3/2021,253195,159,0.77,0
Malaysia,12/3/2021,279308,168,0.85,0
Malaysia,13/03/2021,296360,170,0.9,0
Malaysia,14/03/2021,306661,174,0.94,0
Malaysia,15/03/2021,326829,177,1,0
Malaysia,16/03/2021,352182,183,1.07,0
Malaysia,17/03/2021,372971,246,1.14,0
Malaysia,18/03/2021,390283,1043,1.19,0
Malaysia,19/03/2021,401021,4876,1.22,0.01
Malaysia,20/03/2021,408724,10978,1.25,0.03
Malaysia,21/03/2021,418435,16815,1.28,0.05
Malaysia,22/03/2021,428152,31390,1.31,0.1
Malaysia,23/03/2021,436454,52262,1.33,0.16
Malaysia,24/03/2021,442739,75078,1.35,0.23
Malaysia,25/03/2021,449170,94441,1.37,0.29
Malaysia,26/03/2021,453100,107204,1.38,0.33
Malaysia,27/03/2021,454807,121636,1.39,0.37
Malaysia,28/03/2021,458486,134547,1.4,0.41
Malaysia,29/03/2021,466347,161911,1.42,0.49
Malaysia,30/03/2021,477864,191315,1.46,0.58
Malaysia,31/03/2021,487791,218830,1.49,0.67
Malaysia,1/4/2021,503667,245383,1.54,0.75
Malaysia,2/4/2021,511245,268284,1.56,0.82
Malaysia,3/4/2021,513896,283027,1.57,0.86
Malaysia,4/4/2021,519842,292179,1.59,0.89
Malaysia,5/4/2021,529038,311470,1.61,0.95
Malaysia,6/4/2021,540045,333048,1.65,1.02
Malaysia,7/4/2021,552740,351366,1.69,1.07
Malaysia,8/4/2021,564827,366172,1.72,1.12
Malaysia,9/4/2021,572053,380562,1.75,1.16
Malaysia,10/4/2021,577724,390627,1.76,1.19
Malaysia,11/4/2021,590200,401341,1.8,1.22
Malaysia,12/4/2021,615559,415296,1.88,1.27
Malaysia,13/04/2021,632376,422995,1.93,1.29
Malaysia,14/04/2021,653316,430743,1.99,1.31
Malaysia,15/04/2021,671415,439910,2.05,1.34
Malaysia,16/04/2021,687043,443832,2.1,1.35
Malaysia,17/04/2021,695614,444944,2.12,1.36
Malaysia,18/04/2021,701706,448706,2.14,1.37
Malaysia,19/04/2021,726371,457190,2.22,1.39
Malaysia,20/04/2021,748452,468470,2.28,1.43
Malaysia,21/04/2021,764274,480335,2.33,1.47
Malaysia,22/04/2021,778663,495508,2.38,1.51
Malaysia,23/04/2021,790879,502197,2.41,1.53
Malaysia,24/04/2021,798864,505562,2.44,1.54
Malaysia,25/04/2021,807970,511286,2.47,1.56
Malaysia,26/04/2021,829332,520228,2.53,1.59
Malaysia,27/04/2021,852152,532098,2.6,1.62
Malaysia,28/04/2021,878610,545330,2.68,1.66
